,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier,param_classifier__C,param_classifier__penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
39,0.03123507499694824,0.03290028138815003,0.007640743255615234,0.009654109954003823,"LogisticRegression(C=0.6, penalty='l1', solver='liblinear')",2.0,l2,"{'classifier': LogisticRegression(C=0.6, penalty='l1', solver='liblinear'), 'classifier__C': 2.0, 'classifier__penalty': 'l2'}",0.8242901508429459,0.8291370896184561,0.8485082076308784,0.8710671875173894,0.8335786773725884,0.8413162625964518,0.016940676302892064,22
31,0.03238663673400879,0.01716760808859385,0.014165878295898438,0.017333770890940275,"LogisticRegression(C=0.6, penalty='l1', solver='liblinear')",1.5999999999999999,l2,"{'classifier': LogisticRegression(C=0.6, penalty='l1', solver='liblinear'), 'classifier__C': 1.5999999999999999, 'classifier__penalty': 'l2'}",0.8242568766637091,0.8291149068322982,0.8484194764862467,0.8710226703615905,0.8337348053975688,0.8413097471482827,0.016913310271864268,23
27,0.032581138610839847,0.02879141098554573,0.006415462493896485,0.0032078510706820716,"LogisticRegression(C=0.6, penalty='l1', solver='liblinear')",1.4,l2,"{'classifier': LogisticRegression(C=0.6, penalty='l1', solver='liblinear'), 'classifier__C': 1.4, 'classifier__penalty': 'l2'}",0.8242679680567878,0.8290816326530613,0.8483640195208519,0.8710449289394899,0.8337794134047061,0.8413075925149794,0.01691507444057824,24
19,0.022048473358154297,0.00874323041451469,0.011763906478881836,0.008547535115927679,"LogisticRegression(C=0.6, penalty='l1', solver='liblinear')",0.9999999999999999,l2,"{'classifier': LogisticRegression(C=0.6, penalty='l1', solver='liblinear'), 'classifier__C': 0.9999999999999999, 'classifier__penalty': 'l2'}",0.8242568766637091,0.8290039929015085,0.8482531055900621,0.8710560582284397,0.8339578454332552,0.8413055757633948,0.01690760539224468,25
17,0.014438581466674805,0.005844897371364421,0.01336498260498047,0.008996049775395113,"LogisticRegression(C=0.6, penalty='l1', solver='liblinear')",0.8999999999999999,l2,"{'classifier': LogisticRegression(C=0.6, penalty='l1', solver='liblinear'), 'classifier__C': 0.8999999999999999, 'classifier__penalty': 'l2'}",0.824279059449867,0.8289596273291925,0.8481976486246672,0.8710226703615905,0.8340136054421768,0.8412945222414988,0.016888477139528027,26
25,0.021698141098022462,0.007423891232818994,0.005949592590332032,0.0031369080885520345,"LogisticRegression(C=0.6, penalty='l1', solver='liblinear')",1.3,l2,"{'classifier': LogisticRegression(C=0.6, penalty='l1', solver='liblinear'), 'classifier__C': 1.3, 'classifier__penalty': 'l2'}",0.82424578527063,0.8289929015084295,0.848330745341615,0.8710560582284398,0.8338240214118434,0.8412899023521915,0.01692958972159537,27
23,0.031940364837646486,0.020859581462214238,0.004548549652099609,0.0037421926475436815,"LogisticRegression(C=0.6, penalty='l1', solver='liblinear')",1.2,l2,"{'classifier': LogisticRegression(C=0.6, penalty='l1', solver='liblinear'), 'classifier__C': 1.2, 'classifier__penalty': 'l2'}",0.8242790594498668,0.8289263531499558,0.84827528837622,0.8710560582284398,0.833846325415412,0.8412766169239788,0.016926025722408783,28
15,0.027012443542480467,0.011963946704456638,0.006407451629638672,0.003203749368445805,"LogisticRegression(C=0.6, penalty='l1', solver='liblinear')",0.7999999999999999,l2,"{'classifier': LogisticRegression(C=0.6, penalty='l1', solver='liblinear'), 'classifier__C': 0.7999999999999999, 'classifier__penalty': 'l2'}",0.8242679680567878,0.8290261756876665,0.8481865572315882,0.8709447653389425,0.833946693431471,0.8412744319492912,0.016858478618987083,29
4,0.04529280662536621,0.01487248300030496,0.0029975414276123048,0.0036842080691193214,"LogisticRegression(C=0.6, penalty='l1', solver='liblinear')",0.3,l1,"{'classifier': LogisticRegression(C=0.6, penalty='l1', solver='liblinear'), 'classifier__C': 0.3, 'classifier__penalty': 'l1'}",0.8246450754214729,0.8302351375332742,0.848264196983141,0.8701100686677128,0.8331102932976469,0.8412729543806495,0.016403691224387507,30
21,0.022326850891113283,0.006157646575586212,0.0018042564392089845,0.002544783179753537,"LogisticRegression(C=0.6, penalty='l1', solver='liblinear')",1.0999999999999999,l2,"{'classifier': LogisticRegression(C=0.6, penalty='l1', solver='liblinear'), 'classifier__C': 1.0999999999999999, 'classifier__penalty': 'l2'}",0.824279059449867,0.8289818101153504,0.8482752883762201,0.8709892824947414,0.8338351734136277,0.8412721227699613,0.016895432000953815,31
13,0.017040395736694337,0.0037731869446148963,0.0052089691162109375,0.003078824079289345,"LogisticRegression(C=0.6, penalty='l1', solver='liblinear')",0.7,l2,"{'classifier': LogisticRegression(C=0.6, penalty='l1', solver='liblinear'), 'classifier__C': 0.7, 'classifier__penalty': 'l2'}",0.8242901508429459,0.8288819875776398,0.8480756433007985,0.8709670239168419,0.833946693431471,0.8412322998139394,0.016873836860682053,32
11,0.017866230010986327,0.0037383606680801637,0.007798194885253906,0.00039649177443103065,"LogisticRegression(C=0.6, penalty='l1', solver='liblinear')",0.6,l2,"{'classifier': LogisticRegression(C=0.6, penalty='l1', solver='liblinear'), 'classifier__C': 0.6, 'classifier__penalty': 'l2'}",0.8243566992014197,0.8288819875776396,0.8480756433007985,0.8707889552936463,0.833946693431471,0.841209995760995,0.01679774338772307,33
9,0.025400352478027344,0.009437123766171365,0.014301586151123046,0.017119362997184133,"LogisticRegression(C=0.6, penalty='l1', solver='liblinear')",0.5,l2,"{'classifier': LogisticRegression(C=0.6, penalty='l1', solver='liblinear'), 'classifier__C': 0.5, 'classifier__penalty': 'l2'}",0.8244232475598936,0.8288376220053238,0.8481200088731145,0.8707778260046967,0.8338909334225494,0.8412099275731156,0.016795499918359248,34
7,0.016898679733276366,0.0018058519498556954,0.014397716522216797,0.017808271543745383,"LogisticRegression(C=0.6, penalty='l1', solver='liblinear')",0.4,l2,"{'classifier': LogisticRegression(C=0.6, penalty='l1', solver='liblinear'), 'classifier__C': 0.4, 'classifier__penalty': 'l2'}",0.8244010647737354,0.8287488908606921,0.8479536379769299,0.8705441109367523,0.8337125013940002,0.841072041188422,0.016732624326235214,35
5,0.022454595565795897,0.006128155303104719,0.0060346126556396484,0.004692535351412984,"LogisticRegression(C=0.6, penalty='l1', solver='liblinear')",0.3,l2,"{'classifier': LogisticRegression(C=0.6, penalty='l1', solver='liblinear'), 'classifier__C': 0.3, 'classifier__penalty': 'l2'}",0.824201419698314,0.8286157941437443,0.8478427240461403,0.8704439473362047,0.8338463254154121,0.840990042127963,0.016736214184917882,36
3,0.016003227233886717,4.566910216466058e-05,0.003192901611328125,0.003910498350798318,"LogisticRegression(C=0.6, penalty='l1', solver='liblinear')",0.2,l2,"{'classifier': LogisticRegression(C=0.6, penalty='l1', solver='liblinear'), 'classifier__C': 0.2, 'classifier__penalty': 'l2'}",0.8242014196983141,0.8281721384205856,0.8476541703637976,0.8703326544467074,0.83363443738151,0.840798964062183,0.01676590807811268,37
2,0.02883744239807129,0.003920355423226388,0.00801534652709961,0.005077726048721806,"LogisticRegression(C=0.6, penalty='l1', solver='liblinear')",0.2,l1,"{'classifier': LogisticRegression(C=0.6, penalty='l1', solver='liblinear'), 'classifier__C': 0.2, 'classifier__penalty': 'l1'}",0.8245119787045253,0.8303238686779059,0.847509982253771,0.8694534406196787,0.8319504851120777,0.8407499510735917,0.016244345943542064,38
1,0.02722034454345703,0.006412529728327978,0.00800943374633789,0.005061254826855771,"LogisticRegression(C=0.6, penalty='l1', solver='liblinear')",0.1,l2,"{'classifier': LogisticRegression(C=0.6, penalty='l1', solver='liblinear'), 'classifier__C': 0.1, 'classifier__penalty': 'l2'}",0.823857586512866,0.8275177462289264,0.8469665039929015,0.8697761899992209,0.8330879892940782,0.8402412032055986,0.016727359852736625,39
0,0.028826141357421876,0.00391761472047284,0.006407499313354492,0.009344771186539135,"LogisticRegression(C=0.6, penalty='l1', solver='liblinear')",0.1,l1,"{'classifier': LogisticRegression(C=0.6, penalty='l1', solver='liblinear'), 'classifier__C': 0.1, 'classifier__penalty': 'l1'}",0.8229591836734694,0.8302684117125112,0.8443988464951199,0.8674167807418784,0.8285714285714286,0.8387229302388814,0.01599112664843692,40
